800313;4;77;F 650 GS 25kW;-;AL
800314;4;79;F 800 GS;-;AL
800315;4;95;R 1200 GS;-;AL
800316;4;95;R 1200 GS Safety-Paket;-;AL
800317;4;95;R 1200 GS Comfort-Paket;-;AL
800318;4;95;R 1200 GS Touring-Paket;-;AL
800319;4;96;R 1200 GS Adventure;-;AL
800320;4;96;R 1200 GS Adventure Safety-Paket;-;AL
800321;4;96;R 1200 GS Adventure Comfort-Paket;-;AL
800322;4;96;R 1200 GS Adventure Touring-Paket;-;AL
800323;4;88;HP2 Megamoto;-;SB
800324;4;89;HP2 Sport;-;SB
800325;4;89;HP2 Sport Limited Edition;Y;SB
800326;11;145;Monster 696;-;NK
800327;11;145;Monster 696;-;NK
800328;11;145;Monster 795;-;NK
800329;11;145;Monster 1100 EVO ABS;-;NK
800330;11;142;Diavel;-;NK
800331;11;148;SportClassic GT 1000;-;NK
800332;11;149;StreetFighter;-;NK
800333;11;149;StreetFighter S;-;NK
800334;11;150;Superbike 848 Evo Red;-;SB
800335;11;150;Superbike 848 Dark;-;SB
800336;11;150;Superbike 1299 Panigale;-;SB
800337;11;150;Superbike 1299 Panigale S;-;SB
800338;11;142;Diavel Carbon;-;NK
800339;11;150;Superbike 1198 R Corse;Y;SB
800340;1;26;SX 125;-;LB
800341;1;12;RX 125;-;LB
800342;1;8;RS 125;-;LB
800343;1;15;Shiver 750;-;NK
800344;1;15;Shiver 750 ABS;-;NK
800345;1;16;Shiver 750 GT ABS;-;AL
800346;1;4;Dorsoduro 750;-;AL
800347;1;4;Dorsoduro 750 ABS;-;AL
800348;1;4;Dorsoduro 750 Factory;-;AL
800349;1;5;Mana 850;-;NK
800350;1;5;Mana 850 ABS;-;NK
800351;1;5;Mana 850 GT ABS;-;AL
800352;1;28;Tuono 1000 R;-;AL
800353;1;28;Tuono 1000 R Factory;-;AL
800354;1;11;RSV4;-;SB
800355;1;11;RSV4 Factory;-;SB
800356;1;13;RXV 450;-;EN
800357;1;13;RXV 550;-;EN
800358;1;27;SXV 450;-;AL
800359;1;27;SXV 550;-;AL
800360;1;18;Sportcity ONE 125;-;SC
800362;1;6;Mojito 125 Custom;-;SC
800363;1;1;Atlantic 125;-;SC
800365;1;1;Atlantic 500 Sprint;-;SC
800366;1;8;RS 125 11kW;-;LB
800369;2;33;Cafe Racer 899;-;NK
800370;2;48;TNT 899 T;-;NK
800371;2;48;TNT 899 S;-;NK
800372;2;33;Cafe Racer 1130;-;NK
800373;2;43;TNT 1130 Sport EVO;-;NK
800374;2;43;TNT 1130 Titanium;-;NK
800375;2;49;TNT R160;-;NK
800376;2;53;Tornado 1130;-;SB
800377;2;53;Tre 1130 K;-;TB
800378;2;53;Tre 1130 K Amazonas;-;TB
800379;2;57;Velvet 125;-;SC
800381;3;66;DB5S;-;SB
800382;3;66;DB5 RE;-;SB
800383;3;67;DB6 E;-;NK
800384;3;67;DB6 RE;-;NK
800385;3;68;DB7;-;SB
800386;3;69;DB8;-;SB
800387;3;72;Tesi 3D Mono;-;SB
800388;6;106;Mito SP525;-;LB
800389;6;107;Raptor 125;-;LB
800390;10;127;Boulevard 125 4T;-;SC
800391;29;598;690 Enduro;-;EN
800392;29;598;690 Enduro R;-;EN
800393;29;601;990 Adventure;-;AL
800394;29;601;990 Adventure R;-;EN
800395;29;599;690 SMC R;-;AL
800396;29;600;690 Supermoto Limited Edition;Y;AL
800398;29;605;990 Supermoto R;-;AL
800399;29;605;990 Supermoto T;-;TB
800400;29;603;990 SM T;-;SB
800401;29;604;990 Super Duke R;-;NK
800402;22;454;MS3i 125;-;SC
800403;22;448;GT 125 Naked;-;LB
800404;22;459;XRX 125 Funduro;-;LB
800405;22;459;XRX 125 Supermoto;-;LB
800406;22;455;Karion RT125;-;LB
800407;22;451;GV 125 Classic;-;LB
800408;22;452;GV 250i Classic;-;CU
800409;22;453;GV 650i PRO;-;CU
800410;22;449;GT 250;-;NK
800411;22;450;GT 650i Naked;-;NK
800412;35;739;V7 Classic;-;NK
800413;35;739;V7 Cafe Classic;-;NK
800414;35;725;Breva 1200;-;NK
800415;35;725;Breva 1200;-;NK
800416;35;725;Breva 1200 ABS;-;NK
800417;48;970;Bonneville;-;NK
800418;48;970;Bonneville SE;-;NK
800419;48;970;Bonneville T100;-;NK
800420;48;970;Bonneville Sixty;-;NK
800421;48;970;Black Sonderedition;Y;NK
800422;48;974;Scrambler;-;NK
800423;48;982;Thruxton;-;NK
800424;48;982;Thruxton SE;-;NK
800425;48;971;Daytona 675;-;SB
800426;48;971;Daytona 675 SE;-;SB
800427;48;980;Street Triple;-;NK
800428;48;980;Street Triple Scorched Yellow;-;NK
800429;48;980;Street Triple R;-;NK
800430;48;976;Speed Triple S;-;NK
800431;48;976;Speed Triple SE;-;NK
800432;48;979;Sprint ST;-;TB
800433;48;979;Sprint ST ABS;-;TB
800434;48;978;Sprint GT;-;TB
800435;48;984;Tiger 1050;-;EN
800436;48;984;Tiger 1050 ABS;-;AL
800437;48;984;Tiger 1050 ABS SE;-;EN
800438;48;977;Speedmaster;-;CU
800439;48;969;America;-;CU
800440;48;973;Rocket III Touring;-;CU
800441;48;983;Thunderbird;-;CU
800442;48;983;Thunderbird ABS;-;CU
800443;48;983;Thunderbird SE;-;CU
800444;35;721;1200 Sport;-;NK
800445;35;721;1200 Sport ABS;-;NK
800446;48;983;Thunderbird 1700 ABS;-;CU
800447;35;734;Griso 8V;-;NK
800448;35;733;Griso 8V SE;Y;NK
800450;35;738;Stelvio 1200;-;AL
800451;35;738;Stelvio 1200 8V ABS;-;AL
800452;35;738;Stelvio 1200 8V NTX ABS;-;AL
800453;35;736;Nevada 750 Classic;-;CU
800454;35;736;Nevada Aquila Nera;-;CU
800455;35;728;California Classic;-;CU
800456;35;728;California Aquila Nera;-;CU
800457;35;731;California Vintage;-;CU
800458;35;723;Bellagio;-;CU
800459;35;723;Bellagio Aquila Nera;-;CU
800460;45;880;GSX-R1000 25th Anniversary;Y;SB
800461;1;17;Sportcity 125 CUBE Black Line;-;SC
800462;1;17;Sportcity 300 CUBE Black Line;-;SC
800463;1;1;Atlantic 300;-;SC
800464;4;79;F 800 GS - 30 Jahre GS;Y;AL
800465;4;95;R 1200 GS - 30 Jahre GS;Y;AL
800466;4;96;R 1200 GS Adventure - 30 Jahre GS;Y;AL
800467;4;91;K 1300 GT Exclusive Edition;Y;TB
800468;4;93;K 1300 S Safety Packet;-;SB
800469;17;270;CBF600 Verkleidung Comfort;-;NK
800470;17;270;CBF600 ABS Verkleidung Comfort;-;NK
800471;17;363;VFR1200F Dual Clutch Transmission;-;TB
800472;22;450;GT 650i R;-;SB
800473;27;528;VN1700 Classic Light;-;CU
800474;21;435;TE630;-;EN
800475;21;428;TE 125;-;LB
800476;21;419;SMR 125;-;AL
800477;21;429;TE 250;-;EN
800478;21;431;TE 310;-;EN
800479;21;432;TE 449;-;EN
800480;21;434;TE 511;-;EN
800481;45;882;GSX-R750 Yoshimura-Suzuka;Y;SB
800482;45;921;V-Strom 650 ABS Traveller;-;EN
800483;45;885;GSX1250FA ST;-;TB
800484;21;433;TE 450 i.e.;-;EN
800486;21;414;SM 125;-;LB
800487;21;415;SM 449;-;AL
800488;21;416;SM 510 R;-;EN
800489;21;446;WRE 125;-;LB
800490;21;443;WR 125;-;LB
800491;21;444;WR 250;-;EN
800492;21;445;WR 300;-;EN
800493;20;397;TE 250;-;EN
800494;20;398;TE 300;-;EN
800495;20;387;FE 390;-;EN
800496;20;388;FE 450;-;EN
800497;20;390;FE 570;-;EN
800499;4;94;K 1600 GT;-;TB
800500;4;94;K 1600 GTL;-;TB
800501;4;87;G 650 GS;-;EN
800502;4;77;F 650 GS - 30 Jahre GS;Y;AL
800503;27;549;Z750R;-;NK
800504;27;540;Z1000SX;-;TB
800505;27;540;Z1000SX Tourer;-;TB
800506;27;518;Ninja 250R Grun;Y;SB
800507;27;538;W800;-;NK
800508;27;535;VN1700 Voyager Custom;-;CU
800509;27;536;Vulcan 900 Classic Special Edition;Y;CU
800510;27;532;VN900 Classic Light;-;CU
800511;27;526;Versys 650 Tourer;-;AL
800512;27;490;1400GTR Grand Tourer;-;TB
800515;17;276;CBR250R;-;SB
800516;17;280;CBR600F;-;SB
800517;17;301;Crossrunner;-;AL
800518;17;267;CBF1000 ABS Limited Edition;-;AL
800519;27;522;Ninja ZX-10R ABS;-;SB
800520;48;971;Daytona 675 R;-;SB
800521;48;983;Thunderbird Storm;-;CU
800522;48;984;Tiger 800 XR;-;AL
800523;48;984;Tiger 800 XC;-;AL
800524;53;1145;XT660Z Tenere ABS;-;EN
800525;53;1065;FZ8 ABS;-;NK
800526;53;1105;TMAX 500 TECH MAX ABS;Y;SC
800527;53;1128;X-MAX 125 ABS;-;SC
800528;53;1128;X-MAX 125 ABS Business;-;SC
800529;53;1128;X-MAX 250 ABS;-;SC
800530;53;1128;X-MAX 250 Sport;Y;SC
800531;21;429;TE 250 Meo Replica;Y;EN
800532;29;588;125 Duke;-;NK
800533;1;4;Dorsoduro 750 Factory ABS;-;AL
800534;1;3;Dorsoduro 1200;-;AL
800535;1;3;Dorsoduro 1200 ABS/ATC;-;AL
800536;1;11;RSV4 Factory RF;-;SB
800537;29;601;990 Adventure Dakar ABS;-;AL
800538;16;237;SuperLow;-;CU
800539;16;195;CVO Road Glide Custom;-;TB
800540;16;230;Softail Deluxe;-;CU
800541;16;203;Electra Glide Classic;-;TB
800546;4;92;K 1300 R Dynamic-Paket;-;NK
800547;17;346;Shadow Phantom;-;CU
800548;17;356;Varadero 1000 50 Jahre Edition;Y;EN
800549;17;268;CBF1000F Travel;-;NK
800550;17;268;CBF1000F 50 Jahre Edition;Y;NK
800551;17;270;CBF600 Comfort;-;NK
800552;17;348;SW-T600 50 Jahre Edition;Y;SC
800553;17;308;Fireblade Repsol;-;SB
800554;17;306;Deauville 50 Jahre Edition;Y;TB
800555;53;1060;FZ1;-;NK
800556;16;189;Blackline;-;CU
800557;1;11;RSV4 RF;Y;SB
800558;1;9;RS4 125;-;LB
800559;1;11;RSV4 R ABS;-;SB
800560;1;28;Tuono V4 R;-;AL
800561;1;28;Tuono V4 R ABS;-;AL
800562;11;146;Multistrada 1200 Pikes Peak;-;AL
800563;27;554;ZZR1400 Performance;-;SB
800564;45;877;GSR750 ABS;-;NK
800565;45;911;Sixteen 125;-;SC
800566;2;35;Century Racer 899;Y;NK
800567;2;35;Century Racer 1130;Y;NK
800568;45;896;Intruder C1800R;-;CU
800570;22;449;GT 250R;-;SB
800571;3;68;DB7 Oronero;-;SB
800572;3;69;DB8 Italia;-;SB
800573;36;742;Corsaro 1200;-;NK
800574;36;742;Corsaro 1200 Veloce;-;NK
800575;36;742;Corsaro 1200 Avio;-;NK
800576;36;745;Sport 1200;-;NK
800577;36;744;Scrambler 1200;-;NK
800578;36;741;9 1/2 1200;-;NK
800579;10;135;Rambla 125;-;SC
800580;10;135;Rambla 300i;-;SC
800581;10;129;GP1 Racing 125 Low seat;-;SC
800582;10;136;Senda Baja 125 R;-;EN
800583;10;136;Senda Baja 125 SM;-;AL
800584;10;138;Senda DRD 125 R;-;EN
800585;10;138;Senda DRD 125 4T 4V SM;-;AL
800586;10;140;Terra 125;-;EN
800587;10;137;Cross City 125;-;EN
800588;10;132;Mulhacen 125;-;NK
800589;10;132;Mulhacen Cafe 125;-;NK
800590;10;133;Mulhacen 659 Cafe;-;NK
800591;10;131;GPR 125 4T;-;SB
800592;50;999;LXV 125 i.e;-;SC
800593;50;1002;S 125 i.e.;-;SC
800594;50;998;LX 125 i.e.;-;SC
800595;50;995;GTS 250 i.e.;-;SC
800596;50;997;GTV 250;-;SC
800598;50;1001;PX 125;-;SC
800599;50;1001;PX 150;-;SC
800600;50;1002;S 125 i.e. College;Y;SC
800601;50;998;LX 125 i.e. Touring;Y;SC
800602;50;995;GTS 300 i.e. Touring ABS/ASR;-;SC
800603;50;999;LXV 125 i.e Via della Moda;Y;SC
800604;50;997;GTV 300 Via della Moda;Y;SC
800605;50;996;GTS 125 i.e. Super Sport ABS/ASR;-;SC
800606;50;996;GTS 300 i.e. Super Sport ABS/ASR;-;SC
800607;13;161;Runner 125 Silver Soul;-;SC
800608;13;161;Runner ST 200;-;SC
800609;13;160;Nexus 125 ie;-;SC
800610;13;160;Nexus 300 ie;-;SC
800611;13;159;GP 800;-;SC
800612;13;161;Runner 125 Black Soul;-;SC
800613;13;161;Runner ST 200 Black Soul;Y;SC
800614;39;772;MP3 300 LT YOUrban;-;S3
800615;39;772;MP3 300 LT Hybrid touring;-;S3
800616;39;772;MP3 400 LT;-;S3
800617;39;772;MP3 300 LT;-;S3
800618;39;772;MP3 300 LT Business;-;S3
800619;39;772;MP3 300 LT YOUrban Sport;-;S3
800620;39;772;MP3 400 LT Sport Series;-;S3
800621;39;775;X7 Evo 125 ie;-;SC
800622;39;775;X7 Evo 300 ie;-;SC
800623;39;766;Beverly 125 i.e.;-;SC
800624;39;766;Beverly 300 ie;-;SC
800625;39;766;Beverly 500 Cruiser;Y;SC
800626;39;773;TPH 125;-;SC
800627;39;770;Liberty 125 i.e. iGet 4T 3V;-;SC
800628;39;768;Carnaby 300 Cruiser;-;SC
800629;39;776;X-Evo 125;-;SC
800630;39;776;XEvo 400;-;SC
800631;30;616;Agility 125 R16;-;SC
800632;30;616;Agility 125;-;SC
800633;30;631;Like 125;-;SC
800634;30;631;Like 200i;-;SC
800635;30;639;Super 8 125;-;SC
800636;30;633;125 Movie S Injection 4T Euro III;-;SC
800637;30;645;Yager GT 125;-;SC
800638;30;646;Yager GT 200i;-;SC
800639;30;635;People S 200i;-;SC
800640;30;635;People GT 125i;-;SC
800641;30;621;Downtown 125i;-;SC
800643;30;635;People GT 300i ABS;-;SC
800644;30;621;Downtown 300i;-;SC
800645;30;621;Downtown 300i ABS;-;SC
800646;30;644;Xciting 500i evo ABS;-;SC
800647;30;636;Pulsar 125;-;AL
800648;30;637;Quannon 125;-;TB
800649;30;637;Quannon Naked 125;-;NK
800650;30;647;Zing II Darkside 125;-;CU
800651;46;946;Orbit II 125;-;SC
800652;46;940;Jet4 125;-;SC
800653;46;933;Fiddle III 125;-;SC
800654;46;949;Symphony 125;-;SC
800655;46;927;Allo 125;-;SC
800656;46;958;VS 125;-;SC
800657;46;936;HD 125 Evo;-;SC
800658;46;942;Joyride 125 Evo;-;SC
800659;46;929;CityCom 125;-;SC
800660;46;929;CityCom 300i;-;SC
800661;46;943;Maxsym 400i;-;SC
800662;46;959;Wolf SB125Ni;-;NK
800663;38;759;Satelis 125 RS2 Urban;-;SC
800664;38;759;Satelis White Sat 125 Premium;-;SC
800665;38;759;Satelis White Sat 125 Executive;-;SC
800666;38;759;Satelis 125 GT Sport Urban;-;SC
